timestamp,datetime,openPrice,highPrice,lowPrice,closePrice,amount,volume,vwap,count
1.51476E+12,2018-01-01T00:00:00.0000000Z,13715.65,13818.55,12750,13380,0,8609.915844,0,1
1.51485E+12,2018-01-02T00:00:00.0000000Z,13382.16,15473.49,12890.02,14675.11,0,20078.09211,0,1
1.51494E+12,2018-01-03T00:00:00.0000000Z,14690,15307.56,14150,14919.51,0,15905.66764,0,1
1.51502E+12,2018-01-04T00:00:00.0000000Z,14919.51,15280,13918.04,15059.54,0,21329.64957,0,1
1.51511E+12,2018-01-05T00:00:00.0000000Z,15059.56,17176.24,14600,16960.39,0,23251.49113,0,1
1.5152E+12,2018-01-06T00:00:00.0000000Z,16960.39,17143.13,16011.21,17069.79,0,18571.45751,0,1
1.51528E+12,2018-01-07T00:00:00.0000000Z,17069.79,17099.96,15610,16150.03,0,12493.12556,0,1
1.51537E+12,2018-01-08T00:00:00.0000000Z,16218.85,16322.3,12812,14902.54,0,26600.60991,0,1
1.51546E+12,2018-01-09T00:00:00.0000000Z,14902.54,15500,14011.05,14400,0,14315.00425,0,1
1.51554E+12,2018-01-10T00:00:00.0000000Z,14401,14955.66,13131.31,14907.09,0,17411.00166,0,1
1.51563E+12,2018-01-11T00:00:00.0000000Z,14940,14968.68,11400,13238.78,0,33554.72375,0,1
1.51572E+12,2018-01-12T00:00:00.0000000Z,13238.76,14109.78,12500,13740.01,0,16417.16214,0,1
1.5158E+12,2018-01-13T00:00:00.0000000Z,13749.95,14580,13706.15,14210,0,12221.50853,0,1
1.51589E+12,2018-01-14T00:00:00.0000000Z,14210,14339.5,12569.2,13474.99,0,17017.89433,0,1
1.51597E+12,2018-01-15T00:00:00.0000000Z,13477.98,14249.99,13147.79,13539.93,0,14652.09471,0,1
1.51606E+12,2018-01-16T00:00:00.0000000Z,13500,13542.93,9035,10900,0,63401.16918,0,1
1.51615E+12,2018-01-17T00:00:00.0000000Z,10899.99,11680.99,9037.94,10988.79,0,72331.79665,0,1
1.51623E+12,2018-01-18T00:00:00.0000000Z,10972.59,11878.82,10435.33,10961.97,0,48464.43494,0,1
1.51632E+12,2018-01-19T00:00:00.0000000Z,10960,11795,10360,11474.98,0,34129.37542,0,1
1.51641E+12,2018-01-20T00:00:00.0000000Z,11474.98,13099,11412.45,12799.94,0,28768.85783,0,1
1.51649E+12,2018-01-21T00:00:00.0000000Z,12799.8,12799.8,10965,11530,0,41379.77343,0,1
1.51658E+12,2018-01-22T00:00:00.0000000Z,11530,11926.35,9900.24,10760.05,0,43752.60679,0,1
1.51667E+12,2018-01-23T00:00:00.0000000Z,10760.05,11399,9905,10799.18,0,37473.92255,0,1
1.51675E+12,2018-01-24T00:00:00.0000000Z,10799.14,11570.48,10500,11349.99,0,27158.58776,0,1
1.51684E+12,2018-01-25T00:00:00.0000000Z,11349.96,11794.05,10950.21,11175.27,0,20839.95418,0,1
1.51692E+12,2018-01-26T00:00:00.0000000Z,11184.7,11643,10311.15,11089,0,33056.87196,0,1
1.51701E+12,2018-01-27T00:00:00.0000000Z,11089,11650,10842.69,11491,0,18860.76835,0,1
1.5171E+12,2018-01-28T00:00:00.0000000Z,11499.98,12244,11408,11879.95,0,16887.33952,0,1
1.51718E+12,2018-01-29T00:00:00.0000000Z,11879.95,11975.02,11139.55,11251,0,14170.37754,0,1
1.51727E+12,2018-01-30T00:00:00.0000000Z,11250.11,11308.42,9900,10237.51,0,25554.37295,0,1
1.51736E+12,2018-01-31T00:00:00.0000000Z,10230,10425.85,9700,10285.1,0,18015.95681,0,1
1.51744E+12,2018-02-01T00:00:00.0000000Z,10285.1,10335,8750.99,9224.52,0,33564.76431,0,1
1.51753E+12,2018-02-02T00:00:00.0000000Z,9224.52,9250,8010.02,8873.03,0,49971.62698,0,1
1.51762E+12,2018-02-03T00:00:00.0000000Z,8873.03,9473.01,8229,9199.96,0,28725.00074,0,1
1.5177E+12,2018-02-04T00:00:00.0000000Z,9199.96,9368,7930,8184.81,0,32014.30845,0,1
1.51779E+12,2018-02-05T00:00:00.0000000Z,8179.99,8382.8,6625,6939.99,0,63403.18258,0,1
1.51788E+12,2018-02-06T00:00:00.0000000Z,6939.63,7878,6000.01,7652.14,0,100201.5003,0,1
1.51796E+12,2018-02-07T00:00:00.0000000Z,7655.02,8476,7150.01,7599,0,60778.4605,0,1
1.51805E+12,2018-02-08T00:00:00.0000000Z,7599,7844,7572.09,7784.02,0,1521.537318,0,1
1.51813E+12,2018-02-09T00:00:00.0000000Z,7789.9,8738,7789.9,8683.92,0,20482.91083,0,1
1.51822E+12,2018-02-10T00:00:00.0000000Z,8683.93,9065.78,8120,8533.98,0,49381.51265,0,1
1.51831E+12,2018-02-11T00:00:00.0000000Z,8533.99,8549,7726.53,8063.88,0,45025.18795,0,1
1.51839E+12,2018-02-12T00:00:00.0000000Z,8063.82,8989,8053,8903,0,41987.85049,0,1
1.51848E+12,2018-02-13T00:00:00.0000000Z,8903,8950,8351,8539.9,0,35454.97296,0,1
1.51857E+12,2018-02-14T00:00:00.0000000Z,8535.17,9489.6,8533,9449.99,0,40811.95287,0,1
1.51865E+12,2018-02-15T00:00:00.0000000Z,9449.98,10219.5,9301.5,10000.09,0,52427.59672,0,1
1.51874E+12,2018-02-16T00:00:00.0000000Z,10000.89,10323.37,9666,10159.98,0,38161.20597,0,1
1.51883E+12,2018-02-17T00:00:00.0000000Z,10156.07,11075.07,10050,11039.55,0,41882.10841,0,1
1.51891E+12,2018-02-18T00:00:00.0000000Z,11039.55,11274,10080,10383.43,0,61137.38073,0,1
1.519E+12,2018-02-19T00:00:00.0000000Z,10375.01,11250,10270.33,11153,0,40831.41713,0,1
1.51908E+12,2018-02-20T00:00:00.0000000Z,11147.11,11786.01,11100.59,11200.99,0,48153.35429,0,1
1.51917E+12,2018-02-21T00:00:00.0000000Z,11195.07,11304.03,10200,10437.6,0,68113.81875,0,1
1.51926E+12,2018-02-22T00:00:00.0000000Z,10439.02,10933.44,9679,9811.04,0,67060.16648,0,1
1.51934E+12,2018-02-23T00:00:00.0000000Z,9815.55,10435,9570.19,10131.04,0,57202.70237,0,1
1.51943E+12,2018-02-24T00:00:00.0000000Z,10131.04,10496.97,9352,9694.51,0,40888.1563,0,1
1.51952E+12,2018-02-25T00:00:00.0000000Z,9694.51,9847,9274.8,9590,0,28373.51759,0,1
1.5196E+12,2018-02-26T00:00:00.0000000Z,9590,10444.32,9350,10324,0,34878.29276,0,1
1.51969E+12,2018-02-27T00:00:00.0000000Z,10321,10870,10121,10569.04,0,30705.38512,0,1
1.51978E+12,2018-02-28T00:00:00.0000000Z,10584.33,11098,10300,10326.76,0,30800.98378,0,1
1.51986E+12,2018-03-01T00:00:00.0000000Z,10325.64,11060.41,10240,10920,0,25092.55393,0,1
1.51995E+12,2018-03-02T00:00:00.0000000Z,10923.36,11200,10770,11039,0,23910.71009,0,1
1.52004E+12,2018-03-03T00:00:00.0000000Z,11038.99,11544,11015.01,11464.48,0,21287.15328,0,1
1.52012E+12,2018-03-04T00:00:00.0000000Z,11464.47,11565,11050.02,11515,0,17295.91865,0,1
1.52021E+12,2018-03-05T00:00:00.0000000Z,11515,11710,11415.01,11454,0,15144.23106,0,1
1.52029E+12,2018-03-06T00:00:00.0000000Z,11455,11455,10555.48,10716.48,0,29515.57236,0,1
1.52038E+12,2018-03-07T00:00:00.0000000Z,10716.48,10899,9389.31,9910,0,50647.67108,0,1
1.52047E+12,2018-03-08T00:00:00.0000000Z,9910,10099,9060,9271.64,0,41109.47323,0,1
1.52055E+12,2018-03-09T00:00:00.0000000Z,9267.07,9410,8329,9227,0,64112.29141,0,1
1.52064E+12,2018-03-10T00:00:00.0000000Z,9230,9490,8667.07,8770.22,0,37180.01286,0,1
1.52073E+12,2018-03-11T00:00:00.0000000Z,8770.22,9740,8450,9533.57,0,44325.97339,0,1
1.52081E+12,2018-03-12T00:00:00.0000000Z,9533.57,9888.88,8780,9131.34,0,42230.77793,0,1
1.5209E+12,2018-03-13T00:00:00.0000000Z,9131.34,9474,8823,9150,0,40191.40936,0,1
1.52099E+12,2018-03-14T00:00:00.0000000Z,9151.92,9333.78,7900.28,8170,0,49708.09411,0,1
1.52107E+12,2018-03-15T00:00:00.0000000Z,8184.01,8430,7650,8240.98,0,52291.02228,0,1
1.52116E+12,2018-03-16T00:00:00.0000000Z,8240.98,8611.64,7900,8260,0,38815.40989,0,1
1.52124E+12,2018-03-17T00:00:00.0000000Z,8260,8348.62,7721.99,7824.8,0,33110.20633,0,1
1.52133E+12,2018-03-18T00:00:00.0000000Z,7824.01,8317.4,7322,8189.99,0,59488.23171,0,1
1.52142E+12,2018-03-19T00:00:00.0000000Z,8189,8705.23,8088.4,8600,0,55297.08494,0,1
1.5215E+12,2018-03-20T00:00:00.0000000Z,8595.01,9050,8280,8909.98,0,44865.10584,0,1
1.52159E+12,2018-03-21T00:00:00.0000000Z,8909.96,9177.01,8750.6,8885,0,39972.40537,0,1
1.52168E+12,2018-03-22T00:00:00.0000000Z,8884.82,9100,8465.1,8722.9,0,40617.55681,0,1
1.52176E+12,2018-03-23T00:00:00.0000000Z,8720,8909,8269,8898.03,0,39991.00767,0,1
1.52185E+12,2018-03-24T00:00:00.0000000Z,8898.04,8999.95,8491,8546.86,0,35466.60957,0,1
1.52194E+12,2018-03-25T00:00:00.0000000Z,8531.25,8669.85,8365.77,8470.15,0,29001.76932,0,1
1.52202E+12,2018-03-26T00:00:00.0000000Z,8470.14,8514.89,7831,8134.23,0,44033.59566,0,1
1.52211E+12,2018-03-27T00:00:00.0000000Z,8134.22,8215.94,7730,7795.51,0,37427.64805,0,1
1.5222E+12,2018-03-28T00:00:00.0000000Z,7795.51,8109,7728,7949.3,0,26401.33167,0,1
1.52228E+12,2018-03-29T00:00:00.0000000Z,7949.3,7975,6941.11,7090.14,0,54620.91513,0,1
1.52237E+12,2018-03-30T00:00:00.0000000Z,7090.16,7292.43,6600.1,6840.23,0,65306.03198,0,1
1.52245E+12,2018-03-31T00:00:00.0000000Z,6840.24,7223.36,6777,6923.91,0,36868.53909,0,1
1.52254E+12,2018-04-01T00:00:00.0000000Z,6922,7049.98,6430,6813.01,0,44071.43046,0,1
1.52263E+12,2018-04-02T00:00:00.0000000Z,6813.01,7125,6765,7056,0,32123.56007,0,1
1.52271E+12,2018-04-03T00:00:00.0000000Z,7063.97,7520,7011.01,7405.21,0,37787.33181,0,1
1.5228E+12,2018-04-04T00:00:00.0000000Z,7405.21,7427.52,6707,6796.1,0,42227.1838,0,1
1.52289E+12,2018-04-05T00:00:00.0000000Z,6796.1,6902,6566.69,6770.76,0,39029.73146,0,1
1.52297E+12,2018-04-06T00:00:00.0000000Z,6770,6850,6500,6601.39,0,27455.01192,0,1
1.52306E+12,2018-04-07T00:00:00.0000000Z,6601.39,7070,6586.28,6895.8,0,32269.57827,0,1
1.52315E+12,2018-04-08T00:00:00.0000000Z,6895.81,7109.13,6880,7018,0,21427.67317,0,1
1.52323E+12,2018-04-09T00:00:00.0000000Z,7011.04,7185,6611,6782.72,0,34078.29721,0,1
1.52332E+12,2018-04-10T00:00:00.0000000Z,6781.55,6890,6656,6843.9,0,22326.7281,0,1
1.5234E+12,2018-04-11T00:00:00.0000000Z,6839.56,6990,6787,6953.79,0,23997.87118,0,1
1.52349E+12,2018-04-12T00:00:00.0000000Z,6953.78,8012.23,6743.2,7923,0,64861.59599,0,1
1.52358E+12,2018-04-13T00:00:00.0000000Z,7922.99,8233.39,7732,7877.41,0,55044.52315,0,1
1.52366E+12,2018-04-14T00:00:00.0000000Z,7877.48,8186,7810,7999.01,0,31621.28636,0,1
1.52375E+12,2018-04-15T00:00:00.0000000Z,8004,8429.54,7999.02,8355,0,27946.72044,0,1
1.52384E+12,2018-04-16T00:00:00.0000000Z,8355.07,8419,7867,8064.92,0,36664.06972,0,1
1.52392E+12,2018-04-17T00:00:00.0000000Z,8064.92,8173.7,7825.4,7885.02,0,32152.60357,0,1
1.52401E+12,2018-04-18T00:00:00.0000000Z,7890.96,8236.43,7868,8173,0,26969.04457,0,1
1.5241E+12,2018-04-19T00:00:00.0000000Z,8173.99,8296,8080,8278,0,27113.84746,0,1
1.52418E+12,2018-04-20T00:00:00.0000000Z,8273.84,8930,8177.09,8856.98,0,39795.33749,0,1
1.52427E+12,2018-04-21T00:00:00.0000000Z,8852.12,9035,8565,8915.31,0,40872.22991,0,1
1.52436E+12,2018-04-22T00:00:00.0000000Z,8915.31,9020.67,8727.68,8787.02,0,29458.25348,0,1
1.52444E+12,2018-04-23T00:00:00.0000000Z,8785.7,8985,8745,8934.01,0,25838.11471,0,1
1.52453E+12,2018-04-24T00:00:00.0000000Z,8934,9731.01,8922,9619.99,0,46268.79011,0,1
1.52461E+12,2018-04-25T00:00:00.0000000Z,9618.96,9759.82,8730,8869.99,0,81110.03759,0,1
1.5247E+12,2018-04-26T00:00:00.0000000Z,8869.99,9307.48,8651.62,9266,0,43300.30425,0,1
1.52479E+12,2018-04-27T00:00:00.0000000Z,9267.03,9395,8889,8915.35,0,37241.34704,0,1
1.52487E+12,2018-04-28T00:00:00.0000000Z,8915.35,9427.48,8870,9348,0,34759.62842,0,1
1.52496E+12,2018-04-29T00:00:00.0000000Z,9348,9570.51,9163.74,9419,0,38149.85004,0,1
1.52505E+12,2018-04-30T00:00:00.0000000Z,9417.04,9458.64,9124.99,9246.01,0,35002.03388,0,1
1.52513E+12,2018-05-01T00:00:00.0000000Z,9246.01,9248.99,8800.49,9071.48,0,41018.46363,0,1
1.52522E+12,2018-05-02T00:00:00.0000000Z,9071.48,9268,8970.2,9247.84,0,26123.54396,0,1
1.52531E+12,2018-05-03T00:00:00.0000000Z,9247.81,9844,9168.4,9750,0,38768.38829,0,1
1.52539E+12,2018-05-04T00:00:00.0000000Z,9750,9830.04,9520.85,9713.99,0,28681.58888,0,1
1.52548E+12,2018-05-05T00:00:00.0000000Z,9714,10020,9682,9864,0,24990.01835,0,1
1.52556E+12,2018-05-06T00:00:00.0000000Z,9863.99,9970,9417.03,9659.01,0,27690.35156,0,1
1.52565E+12,2018-05-07T00:00:00.0000000Z,9661.02,9689.67,9181,9365,0,33787.64001,0,1
1.52574E+12,2018-05-08T00:00:00.0000000Z,9365,9475.7,9060.54,9187.56,0,25533.83189,0,1
1.52582E+12,2018-05-09T00:00:00.0000000Z,9178,9390,8965,9310,0,25673.5249,0,1
1.52591E+12,2018-05-10T00:00:00.0000000Z,9310,9395.12,8970,9002.2,0,25055.06372,0,1
1.526E+12,2018-05-11T00:00:00.0000000Z,9002.21,9016.8,8341,8400,0,48227.04806,0,1
1.52608E+12,2018-05-12T00:00:00.0000000Z,8405.94,8646.88,8153,8465.94,0,40241.32081,0,1
1.52617E+12,2018-05-13T00:00:00.0000000Z,8475.44,8763.36,8298,8679.71,0,25632.86936,0,1
1.52626E+12,2018-05-14T00:00:00.0000000Z,8679.71,8879.99,8277,8663.34,0,37389.66653,0,1
1.52634E+12,2018-05-15T00:00:00.0000000Z,8663.37,8859.99,8401.3,8462,0,28126.95614,0,1
1.52643E+12,2018-05-16T00:00:00.0000000Z,8462,8488,8083.01,8330,0,31130.71891,0,1
1.52652E+12,2018-05-17T00:00:00.0000000Z,8330,8464,7979,8041.46,0,25439.8448,0,1
1.5266E+12,2018-05-18T00:00:00.0000000Z,8038.82,8273.21,7911.9,8239.81,0,23476.15825,0,1
1.52669E+12,2018-05-19T00:00:00.0000000Z,8238.01,8390.8,8095.73,8233.49,0,17193.42428,0,1
1.52677E+12,2018-05-20T00:00:00.0000000Z,8233.49,8609,8163.9,8526.98,0,19957.05711,0,1
1.52686E+12,2018-05-21T00:00:00.0000000Z,8526.97,8595.31,8305,8381.24,0,21516.59649,0,1
1.52695E+12,2018-05-22T00:00:00.0000000Z,8386.89,8400.18,7935.11,7977.11,0,23710.90286,0,1
1.52703E+12,2018-05-23T00:00:00.0000000Z,7977.12,8031.9,7425,7501.95,0,42910.66677,0,1
1.52712E+12,2018-05-24T00:00:00.0000000Z,7501.95,7730.73,7266.99,7575.01,0,37845.4466,0,1
1.52721E+12,2018-05-25T00:00:00.0000000Z,7578.99,7649.55,7308.15,7457,0,26739.95664,0,1
1.52729E+12,2018-05-26T00:00:00.0000000Z,7456.99,7620,7300,7333.96,0,19464.08607,0,1
1.52738E+12,2018-05-27T00:00:00.0000000Z,7334,7400,7231.11,7338.99,0,18706.94552,0,1
1.52747E+12,2018-05-28T00:00:00.0000000Z,7338.99,7437,7058.02,7099,0,27219.43896,0,1
1.52755E+12,2018-05-29T00:00:00.0000000Z,7099,7540,7032.95,7461.29,0,39407.21183,0,1
1.52764E+12,2018-05-30T00:00:00.0000000Z,7467.98,7569,7260.5,7375.96,0,32041.58362,0,1
1.52772E+12,2018-05-31T00:00:00.0000000Z,7382.07,7699,7327.51,7485.01,0,30776.0631,0,1
1.52781E+12,2018-06-01T00:00:00.0000000Z,7485.01,7608.55,7355.54,7521.01,0,28259.12408,0,1
1.5279E+12,2018-06-02T00:00:00.0000000Z,7521.01,7697.33,7437,7640.03,0,26720.69022,0,1
1.52798E+12,2018-06-03T00:00:00.0000000Z,7636.81,7786.69,7600,7714.26,0,27505.15895,0,1
1.52807E+12,2018-06-04T00:00:00.0000000Z,7714.26,7760.52,7446.5,7487,0,32258.83512,0,1
1.52816E+12,2018-06-05T00:00:00.0000000Z,7487,7679.49,7358,7625,0,31722.97338,0,1
1.52824E+12,2018-06-06T00:00:00.0000000Z,7626.64,7699,7467.05,7658.84,0,27229.9919,0,1
1.52833E+12,2018-06-07T00:00:00.0000000Z,7658.79,7765,7620,7691.08,0,25062.2272,0,1
1.52842E+12,2018-06-08T00:00:00.0000000Z,7691.08,7703.5,7531,7603.44,0,23396.80467,0,1
1.5285E+12,2018-06-09T00:00:00.0000000Z,7603.44,7683.98,7450,7491.73,0,19339.88518,0,1
1.52859E+12,2018-06-10T00:00:00.0000000Z,7491.73,7491.73,6622.81,6764.99,0,52342.02003,0,1
1.52868E+12,2018-06-11T00:00:00.0000000Z,6765,6922,6610,6872,0,34552.1623,0,1
1.52876E+12,2018-06-12T00:00:00.0000000Z,6872,6890.51,6435,6530,0,36722.21119,0,1
1.52885E+12,2018-06-13T00:00:00.0000000Z,6530,6627.6,6118.68,6292.78,0,46185.5181,0,1
1.52893E+12,2018-06-14T00:00:00.0000000Z,6292.78,6720,6260,6635.98,0,44478.13084,0,1
1.52902E+12,2018-06-15T00:00:00.0000000Z,6638.67,6666.66,6362.31,6388.9,0,30018.32991,0,1
1.52911E+12,2018-06-16T00:00:00.0000000Z,6380.01,6560,6320.86,6483.98,0,22277.24115,0,1
1.52919E+12,2018-06-17T00:00:00.0000000Z,6482.5,6589.03,6422,6449.61,0,19847.24769,0,1
1.52928E+12,2018-06-18T00:00:00.0000000Z,6444.06,6794.38,6380,6712.46,0,31821.435,0,1
1.52937E+12,2018-06-19T00:00:00.0000000Z,6711.39,6841.74,6653,6741.21,0,24311.42114,0,1
1.52945E+12,2018-06-20T00:00:00.0000000Z,6740,6817.23,6551.81,6761.51,0,26359.75245,0,1
1.52954E+12,2018-06-21T00:00:00.0000000Z,6763.21,6795,6672.57,6718.84,0,25428.85405,0,1
1.52963E+12,2018-06-22T00:00:00.0000000Z,6717.69,6733.97,5918.94,6045,0,52157.37083,0,1
1.52971E+12,2018-06-23T00:00:00.0000000Z,6045.92,6260,6008.48,6149.98,0,26622.78859,0,1
1.5298E+12,2018-06-24T00:00:00.0000000Z,6149.98,6259.8,5750,6136.97,0,47445.99896,0,1
1.52988E+12,2018-06-25T00:00:00.0000000Z,6137.95,6350,6061.97,6252,0,39164.51531,0,1
1.52997E+12,2018-06-26T00:00:00.0000000Z,6252,6272.54,6035,6070.78,0,19377.24048,0,1
1.53006E+12,2018-06-27T00:00:00.0000000Z,6065.89,6190.43,5971,6133.73,0,19225.6711,0,1
1.53014E+12,2018-06-28T00:00:00.0000000Z,6134.73,6173.01,5827,5853.98,0,30585.26603,0,1
1.53023E+12,2018-06-29T00:00:00.0000000Z,5851.01,6300,5780,6197.92,0,33911.28728,0,1
1.53032E+12,2018-06-30T00:00:00.0000000Z,6197.92,6528.99,6186.03,6390.07,0,37919.61284,0,1
1.5304E+12,2018-07-01T00:00:00.0000000Z,6391.08,6441.06,6251,6356.81,0,27562.96597,0,1
1.53049E+12,2018-07-02T00:00:00.0000000Z,6360.82,6685,6271.62,6615.29,0,36230.45226,0,1
1.53058E+12,2018-07-03T00:00:00.0000000Z,6615.29,6679.35,6463.01,6513.86,0,38657.78169,0,1
1.53066E+12,2018-07-04T00:00:00.0000000Z,6511.01,6784.92,6441.11,6586.98,0,23571.89278,0,1
1.53075E+12,2018-07-05T00:00:00.0000000Z,6585.53,6712,6453.33,6529.2,0,35071.9729,0,1
1.53084E+12,2018-07-06T00:00:00.0000000Z,6529.2,6648.54,6425,6609.78,0,29397.09475,0,1
1.53092E+12,2018-07-07T00:00:00.0000000Z,6609.79,6818.16,6508.88,6756.98,0,23973.87689,0,1
1.53101E+12,2018-07-08T00:00:00.0000000Z,6753.48,6780,6667.44,6712.1,0,24622.94779,0,1
1.53109E+12,2018-07-09T00:00:00.0000000Z,6712.1,6802.06,6612.24,6662.12,0,26732.40655,0,1
1.53118E+12,2018-07-10T00:00:00.0000000Z,6662.78,6681,6263,6296.91,0,38560.6727,0,1
1.53127E+12,2018-07-11T00:00:00.0000000Z,6296.91,6406,6278.99,6378.07,0,28715.49849,0,1
1.53135E+12,2018-07-12T00:00:00.0000000Z,6378.07,6380.28,6070,6250.57,0,31306.66335,0,1
1.53144E+12,2018-07-13T00:00:00.0000000Z,6251.4,6350,6110,6214.57,0,26375.32529,0,1
1.53153E+12,2018-07-14T00:00:00.0000000Z,6214.57,6335,6178,6251.99,0,17783.072,0,1
1.53161E+12,2018-07-15T00:00:00.0000000Z,6250.9,6395,6225.4,6353.01,0,22979.21151,0,1
1.5317E+12,2018-07-16T00:00:00.0000000Z,6354.15,6747.3,6330.4,6723.35,0,36204.87708,0,1
1.53179E+12,2018-07-17T00:00:00.0000000Z,6723.33,7468.99,6652.04,7317.44,0,52105.42346,0,1
1.53187E+12,2018-07-18T00:00:00.0000000Z,7317.44,7588.08,7225.38,7381.9,0,59487.64345,0,1
1.53196E+12,2018-07-19T00:00:00.0000000Z,7381.88,7576.28,7270,7466.21,0,41218.25644,0,1
1.53204E+12,2018-07-20T00:00:00.0000000Z,7468.86,7700,7273,7337.53,0,46140.31345,0,1
1.53213E+12,2018-07-21T00:00:00.0000000Z,7337.47,7458.47,7211,7398.78,0,28886.49029,0,1
1.53222E+12,2018-07-22T00:00:00.0000000Z,7399.25,7582.4,7335.5,7394.79,0,30270.21844,0,1
1.5323E+12,2018-07-23T00:00:00.0000000Z,7394.78,7833,7375,7721.01,0,41646.34667,0,1
1.53239E+12,2018-07-24T00:00:00.0000000Z,7721.65,8486,7696,8397.24,0,60121.16375,0,1
1.53248E+12,2018-07-25T00:00:00.0000000Z,8397.24,8491.77,8050,8175.64,0,48257.64912,0,1
1.53256E+12,2018-07-26T00:00:00.0000000Z,8175.63,8315.69,7850.06,7920,0,43223.48168,0,1
1.53265E+12,2018-07-27T00:00:00.0000000Z,7920,8285,7805,8188.57,0,43671.00589,0,1
1.53274E+12,2018-07-28T00:00:00.0000000Z,8188.57,8246.54,8067,8225.04,0,26215.17384,0,1
1.53282E+12,2018-07-29T00:00:00.0000000Z,8225.04,8294.51,8115,8211,0,25531.22619,0,1
1.53291E+12,2018-07-30T00:00:00.0000000Z,8210.99,8273,7866,8173.92,0,39692.41654,0,1
1.533E+12,2018-07-31T00:00:00.0000000Z,8171.4,8180,7633,7730.93,0,48296.91559,0,1
1.53308E+12,2018-08-01T00:00:00.0000000Z,7735.67,7750,7430,7604.58,0,42582.31293,0,1
1.53317E+12,2018-08-02T00:00:00.0000000Z,7600.08,7709.46,7455.72,7525.71,0,37665.69668,0,1
1.53325E+12,2018-08-03T00:00:00.0000000Z,7525.71,7540,7282.44,7418.78,0,44669.48605,0,1
1.53334E+12,2018-08-04T00:00:00.0000000Z,7412.27,7494.81,6926,7009.84,0,36288.42601,0,1
1.53343E+12,2018-08-05T00:00:00.0000000Z,7009.84,7089.87,6882.29,7024.19,0,32894.84978,0,1
1.53351E+12,2018-08-06T00:00:00.0000000Z,7024.19,7160,6821,6934.82,0,32760.19164,0,1
1.5336E+12,2018-08-07T00:00:00.0000000Z,6935,7150.46,6670,6720.06,0,45438.4735,0,1
1.53369E+12,2018-08-08T00:00:00.0000000Z,6720.63,6721.54,6123,6285,0,59550.53632,0,1
1.53377E+12,2018-08-09T00:00:00.0000000Z,6283.27,6622.81,6178.6,6529.79,0,51941.18511,0,1
1.53386E+12,2018-08-10T00:00:00.0000000Z,6529.79,6575.88,6026.39,6144.01,0,59034.9749,0,1
1.53395E+12,2018-08-11T00:00:00.0000000Z,6148.13,6488,5971,6232.35,0,47133.41856,0,1
1.53403E+12,2018-08-12T00:00:00.0000000Z,6222.55,6472.3,6130,6308.33,0,38567.77071,0,1
1.53412E+12,2018-08-13T00:00:00.0000000Z,6308.56,6545,6145.04,6246.35,0,53895.82878,0,1
1.5342E+12,2018-08-14T00:00:00.0000000Z,6248.25,6250.33,5880,6188.08,0,50186.74509,0,1
1.53429E+12,2018-08-15T00:00:00.0000000Z,6188.08,6609,6172.11,6267.16,0,68806.68703,0,1
1.53438E+12,2018-08-16T00:00:00.0000000Z,6265.27,6480,6205.6,6311.75,0,48515.25462,0,1
1.53446E+12,2018-08-17T00:00:00.0000000Z,6316,6585,6285.4,6584.49,0,57851.6108,0,1
1.53455E+12,2018-08-18T00:00:00.0000000Z,6579.04,6620,6288,6387.96,0,53742.32217,0,1
1.53464E+12,2018-08-19T00:00:00.0000000Z,6387.96,6541,6300,6477.53,0,45190.84799,0,1
1.53472E+12,2018-08-20T00:00:00.0000000Z,6477.53,6530,6220,6254.84,0,49435.55526,0,1
1.53481E+12,2018-08-21T00:00:00.0000000Z,6251,6500,6235.08,6480,0,41569.94741,0,1
1.5349E+12,2018-08-22T00:00:00.0000000Z,6479.98,6882.54,6251.2,6360.89,0,77909.39136,0,1
1.53498E+12,2018-08-23T00:00:00.0000000Z,6362.57,6576.99,6342.28,6525.01,0,40358.16683,0,1
1.53507E+12,2018-08-24T00:00:00.0000000Z,6525,6725,6440.5,6681.64,0,38305.67532,0,1
1.53516E+12,2018-08-25T00:00:00.0000000Z,6686.98,6789,6650.61,6733.64,0,19220.50593,0,1
1.53524E+12,2018-08-26T00:00:00.0000000Z,6733.64,6775.27,6568,6700,0,20107.29721,0,1
1.53533E+12,2018-08-27T00:00:00.0000000Z,6700,6940.51,6646.5,6908.64,0,37747.07875,0,1
1.53541E+12,2018-08-28T00:00:00.0000000Z,6907.26,7135,6860,7076.11,0,48352.91716,0,1
1.5355E+12,2018-08-29T00:00:00.0000000Z,7077,7133.81,6912.34,7031.22,0,43252.48739,0,1
1.53559E+12,2018-08-30T00:00:00.0000000Z,7033.21,7063.63,6784.81,6984.84,0,44716.77462,0,1
1.53567E+12,2018-08-31T00:00:00.0000000Z,6984.84,7089,6888,7011.21,0,40467.40064,0,1
1.53576E+12,2018-09-01T00:00:00.0000000Z,7011.21,7275,7008.74,7200.01,0,40323.41409,0,1
1.53585E+12,2018-09-02T00:00:00.0000000Z,7201.57,7345.45,7127,7302.01,0,39814.84035,0,1
1.53593E+12,2018-09-03T00:00:00.0000000Z,7302,7338.28,7191.63,7263.02,0,32396.01837,0,1
1.53602E+12,2018-09-04T00:00:00.0000000Z,7263,7410,7227.17,7359.06,0,35300.64052,0,1
1.53611E+12,2018-09-05T00:00:00.0000000Z,7359.05,7397.3,6682,6700,0,63715.25627,0,1
